Year,Event,Location,1st Place Time,1st Place Location,2nd Place Time,2nd Place Location,3rd Place Time,3rd Place Location,4th Place Time,4th Place Location,5th Place Time,5th Place Location,6th Place Time,6th Place Location
2007,2007 World Rowing Championships,"Munich, GER",06:45.670,NZL,06:46.480,CZE,06:47.580,NOR,06:49.210,GBR,06:52.960,GER,06:53.010,SWE
2007,2007 World Rowing Cup III,"Lucerne, SUI",06:45.650,NZL1,06:45.940,GBR,06:47.280,CZE,06:47.670,NOR,06:54.800,NED,06:55.020,SWE1
2007,2007 World Rowing Cup II,"Amsterdam, NED",06:40.600,CZE,06:41.640,NOR,06:43.970,GER1,06:44.950,NZL1,06:46.330,SWE1,06:46.690,GBR
2007,2007 World Rowing Cup I,"Linz Ottensheim, AUT",06:47.960,CZE,06:48.360,GBR1,06:50.800,GER1,06:52.190,NOR1,06:52.210,SLO1,07:05.690,NED
2007,2007 European Championships,"Poznan, POL",07:08.350,AUT,07:09.680,LTU,07:10.940,BUL,07:17.220,POL,07:19.590,GER,07:34.170,BEL
2006,2006 World Rowing Championships,"Eton, GBR",06:35.400,NZL,06:35.490,GER,06:37.510,CZE,06:39.130,NOR,06:44.300,BEL,06:49.080,GBR
2006,2006 World Rowing Cup III,"Lucerne, SUI",06:47.650,NOR,06:47.800,NZL1,06:52.290,CZE,06:56.460,GBR,06:56.620,SUI,06:57.900,SWE
2006,2006 World Rowing Cup II,"Poznan, POL",06:39.120,NZL,06:41.820,GBR1,06:44.700,GER,06:46.340,SWE,06:46.510,NOR,07:04.190,ARG
2006,2006 World Rowing Cup I,"Munich, GER",06:54.050,GBR,06:55.160,GER,06:57.000,SWE,06:57.100,NOR,07:02.700,CZE,07:11.800,SUI
2005,2005 World Rowing Championships,"Gifu, JPN",07:16.420,NZL,07:18.340,NOR,07:21.120,CZE,07:28.720,BEL,07:35.920,CUB,07:36.150,GER
2005,2005 World Rowing Cup III,"Lucerne, SUI",06:46.590,CZE,06:47.190,NZL,06:47.680,NOR,06:48.680,GER1,06:56.460,SWE,07:03.190,NED1
2005,2005 World Rowing Cup II,"Munich, GER",07:17.700,GER,07:18.830,NZL,07:22.370,CZE1,07:28.640,NOR,07:30.670,CZE2,07:41.340,SUI
2005,2005 World Rowing Cup I,"Eton, GBR",07:06.920,CZE,07:11.670,GER1,07:15.730,SLO,07:24.250,SCG,07:25.350,CUB1,07:31.600,BUL1
2004,2004 Olympic Games,"Athens, GRE",06:49.300,NOR,06:51.420,EST,06:52.800,BUL,06:55.170,ARG,06:59.130,CZE,07:01.740,BEL
2004,2004 World Rowing Cup III,"Lucerne, SUI",07:01.700,NOR1,07:02.510,GER1,07:02.740,CZE,07:06.550,ARG,07:08.560,SUI1,07:08.910,NOR2
2004,2004 World Rowing Cup II,"Munich, GER",07:25.200,CZE,07:28.790,NOR,07:29.350,BEL,07:33.630,AUT2,07:35.860,SWE,07:38.790,AUT1
2004,2004 World Rowing Cup I,"Poznan, POL",06:53.270,EST1,06:54.970,GER1,06:55.460,SLO1,06:55.840,NOR,06:58.980,SUI1,06:59.480,CZE
