Year,Event,Location,1st Place Time,1st Place Location,2nd Place Time,2nd Place Location,3rd Place Time,3rd Place Location,4th Place Time,4th Place Location,5th Place Time,5th Place Location,6th Place Time,6th Place Location
2012,2012 World Rowing Cup II,"Lucerne, SUI",06:22.780,FRA,06:24.320,NZL,06:24.970,DEN,06:25.180,CAN,06:28.670,GER,06:32.030,GBR
2012,2012 World Rowing Cup I,"Belgrade, SRB",06:19.710,GBR,06:20.120,GRE,06:20.650,ITA,06:20.870,DEN,06:23.460,HUN1,06:24.180,NOR
2012,2012 European Championships,"Varese, ITA",06:21.580,GRE,06:22.270,POR,06:23.340,GBR,06:23.410,AUT,06:26.850,FRA,06:32.660,UKR
2011,2011 World Rowing Championships,"Bled, SLO",06:18.670,GBR,06:19.010,NZL,06:21.330,ITA,06:21.800,GER,06:24.250,DEN,06:30.880,CHN
2011,2011 World Rowing Cup III,"Lucerne, SUI",06:26.160,NZL,06:28.410,ITA,06:29.390,DEN,06:31.580,CAN,06:33.490,GER,06:36.860,FRA
2011,2011 World Rowing Cup II,"Hamburg, GER",06:24.570,NZL,06:27.010,CHN,06:28.090,POR,06:30.140,GER,06:30.530,POL1,06:30.540,POL2
2011,2011 World Rowing Cup I,"Munich, GER",06:18.250,GER,06:19.330,FRA,06:21.150,DEN1,06:21.870,GBR,06:24.430,ITA1,06:27.110,USA
2011,2011 European Championships,"Plovdiv, BUL",06:28.830,ITA,06:31.840,GRE,06:34.080,POR,06:37.150,POL,06:38.670,HUN,06:39.440,GBR
2010,2010 World Rowing Championships,"Karapiro, NZL",07:13.470,GBR,07:15.880,ITA,07:18.310,NZL,07:18.340,CAN,07:25.270,CHN,07:33.760,POR
2010,2010 World Rowing Cup III,"Lucerne, SUI",06:21.980,NZL,06:24.510,GER,06:24.880,CAN,06:25.550,ITA1,06:26.160,GBR,06:28.810,CHN1
2010,2010 World Rowing Cup II,"Munich, GER",06:26.560,GBR,06:27.600,NZL,06:30.750,GER,06:37.050,USA,06:39.210,CHN1,06:42.180,MEX
2010,2010 World Rowing Cup I,"Bled, SLO",06:27.800,CAN,06:31.870,ITA2,06:33.240,FRA,06:35.820,ITA1,06:38.950,POR,00:00.000,SRB
2010,2010 European Championships,"Montemor-o-Velho, POR",06:21.460,GER,06:22.500,POR,06:23.990,FRA,06:25.350,AUT,06:25.500,SLO,06:29.320,ITA
2009,2009 World Rowing Championships,"Poznan, POL",06:10.620,NZL,06:12.570,FRA,06:15.080,ITA,06:20.290,GER,06:23.080,CAN,06:23.950,GBR
2009,2009 World Rowing Cup III,"Lucerne, SUI",06:22.710,NZL,06:25.540,CAN,06:26.620,FRA,06:28.760,ITA,06:31.230,GBR,06:32.000,NED
