Year,Event,Location,1st Place Time,1st Place Location,2nd Place Time,2nd Place Location,3rd Place Time,3rd Place Location,4th Place Time,4th Place Location,5th Place Time,5th Place Location,6th Place Time,6th Place Location
2008,2008 World Rowing Cup II,"Lucerne, SUI",06:21.140,CHN1,06:24.100,USA,06:24.380,GBR,06:25.750,UKR,06:25.930,GER,06:32.800,AUS
2008,2008 World Rowing Cup I,"Munich, GER",06:54.380,GBR,06:56.290,GER1,06:57.240,CHN1,07:06.490,CHN2,07:10.760,AUS,07:12.500,UKR
2008,2008 European Championships,"Athens, GRE",06:26.540,UKR,06:28.200,RUS,06:30.640,ROU,06:36.300,GER,06:37.650,AUT,06:54.280,LTU
2007,2007 World Rowing Championships,"Munich, GER",06:30.810,GBR,06:32.020,GER,06:33.910,CHN,06:34.550,UKR,06:40.370,CAN,06:41.020,USA
2007,2007 World Rowing Cup III,"Lucerne, SUI",06:20.540,GBR,06:22.370,GER,06:25.890,ROU,06:30.180,AUS,06:35.440,FRA,06:44.130,BLR
2007,2007 World Rowing Cup II,"Amsterdam, NED",06:25.900,CHN,06:28.550,GBR1,06:31.100,GER,06:38.710,FRA,06:41.530,UKR,06:48.060,NED
2007,2007 World Rowing Cup I,"Linz Ottensheim, AUT",06:26.900,GBR,06:29.430,CHN1,06:33.130,GER,06:34.660,CHN2,06:36.380,ROU,06:36.570,FRA
2007,2007 European Championships,"Poznan, POL",06:42.340,UKR,06:47.500,ROU,06:47.640,GER,06:53.440,AUT,06:53.990,POL,06:55.490,BLR
2006,2006 World Rowing Championships,"Eton, GBR",00:00.000,RUS,06:12.500,GBR,06:13.990,AUS,06:14.670,GER,06:18.570,CHN,06:22.010,USA
2006,2006 World Rowing Cup III,"Lucerne, SUI",06:31.270,GBR,06:35.660,GER,06:38.460,RUS,06:40.080,USA,06:42.280,DEN,06:47.190,ROM
2006,2006 World Rowing Cup II,"Poznan, POL",06:15.320,GBR,06:16.600,CHN,06:18.750,GER,06:21.740,DEN,06:26.120,ROM,06:27.350,AUS
2006,2006 World Rowing Cup I,"Munich, GER",06:32.000,GBR,06:36.130,AUS,06:36.970,RUS,06:40.380,CHN1,06:48.570,CHN2,06:55.150,ROM
2005,2005 World Rowing Championships,"Gifu, JPN",06:09.590,GBR,06:09.930,GER,06:12.190,RUS,06:13.400,UKR,06:24.020,USA,06:30.140,FRA
2005,2005 World Rowing Cup III,"Lucerne, SUI",06:20.910,RUS,06:22.060,GBR,06:25.130,UKR,06:26.000,GER,06:31.630,BLR,06:44.330,CZE
2005,2005 World Rowing Cup II,"Munich, GER",06:50.850,GBR,06:54.910,UKR,06:57.450,USA,07:00.610,GER2,07:03.050,GER1,,
2005,2005 World Rowing Cup I,"Eton, GBR",06:36.960,GBR,06:37.450,RUS1,06:44.210,UKR,06:59.570,RUS2,,,,
2004,2004 Olympic Games,"Athens, GRE",00:00.000,UKR,06:29.290,GER,06:31.260,GBR,06:34.730,AUS,06:36.490,RUS,06:39.670,USA
2004,2004 World Rowing Cup III,"Lucerne, SUI",06:23.770,GBR,06:23.850,GER,06:25.100,USA,06:25.670,RUS,06:31.220,AUS,06:33.250,UKR
2004,2004 World Rowing Cup II,"Munich, GER",06:34.940,GER,06:42.930,GBR,06:43.770,DEN,06:45.450,BLR,06:46.350,USA,06:47.750,NED
2004,2004 World Rowing Cup I,"Poznan, POL",06:21.550,GBR,06:23.380,DEN,06:23.960,CHN,06:24.090,NED,,,,
2003,2003 World Rowing Championships,"Milan, ITA",06:46.520,AUS,06:48.870,BLR,06:49.340,GER,06:49.650,GBR,06:55.400,UKR,07:02.690,USA
2003,2003 World Rowing Cup III,"Lucerne, SUI",06:19.500,AUS,06:20.640,GER,06:24.040,GBR,06:28.090,RUS,06:30.480,NED,06:32.660,NZL
2003,2003 World Rowing Cup II,"Munich, GER",06:33.040,USA,06:34.430,GER,06:36.620,UKR,06:36.710,GBR,06:41.540,DEN,07:01.400,ESP
2003,2003 World Rowing Cup I,"Milan, ITA",06:17.680,UKR,06:18.160,GER,06:20.860,BLR,06:25.660,USA,06:27.610,DEN,06:37.370,ITA1
2002,2002 World Rowing Championships,"Seville, ESP",06:15.660,GER,06:16.840,DEN,06:18.120,BLR,06:19.260,AUS,06:20.150,GBR,06:20.500,UKR
2002,2002 World Rowing Cup III,"Munich, GER",06:26.930,UKR,06:29.540,AUS,06:29.750,GBR,06:31.800,NED,06:36.140,DEN,06:39.590,GER
2002,2002 World Rowing Cup II,"Lucerne, SUI",06:14.030,UKR,06:15.240,GER,06:20.600,USA,06:23.420,RUS,06:24.550,GBR,06:25.800,DEN
2002,2002 World Rowing Cup I,"Hazewinkel, BEL",06:21.060,UKR,06:24.850,GER,06:26.040,GBR,06:27.740,NED,06:28.340,DEN,06:33.990,BLR
2001,2001 World Rowing Championships,"Lucerne, SUI",06:12.950,GER,06:15.350,NZL,06:18.300,USA,06:20.530,AUS,06:26.890,GBR,06:30.780,UKR
2001,2001 World Rowing Cup III,"Vienna, AUT",07:38.730,UKR,07:39.020,GBR,07:44.730,BLR2,07:50.370,CHN,07:53.390,DEN,08:25.730,POL
2001,2001 World Rowing Cup II,"Seville, ESP",06:35.790,GER,06:43.920,GBR,06:47.370,POL,06:50.260,NED,06:52.240,USA,07:01.600,ITA
2001,2001 World Rowing Cup I,"New Jersey, USA",06:33.550,GER,06:37.240,USA,06:41.520,D/USA,,,,,,
