Year,Event,Location,1st Place Time,1st Place Location,2nd Place Time,2nd Place Location,3rd Place Time,3rd Place Location,4th Place Time,4th Place Location,5th Place Time,5th Place Location,6th Place Time,6th Place Location
2011,2011 European Championships,"Plovdiv, BUL",07:52.030,CZE,07:58.370,RUS,08:02.460,LTU,08:09.100,GRE,08:11.180,UKR,08:17.660,POL
2010,2010 World Rowing Championships,"Karapiro, NZL",07:47.610,SWE,07:47.790,BLR,07:49.640,NZL,07:56.380,CZE,08:02.410,RUS,08:04.600,SRB
2010,2010 World Rowing Cup III,"Lucerne, SUI",07:31.270,BLR,07:33.570,CZE,07:37.320,SWE,07:43.310,LTU,07:49.420,GBR,07:52.010,RUS
2010,2010 World Rowing Cup II,"Munich, GER",07:35.860,BLR,07:41.190,RUS,07:43.580,AUS2,07:46.170,CZE,07:48.580,AUS1,07:51.010,CHN2
2010,2010 World Rowing Cup I,"Bled, SLO",07:36.030,BLR,07:38.200,NZL,07:42.830,CHN,07:44.580,RUS1,07:46.320,SWE,07:48.090,CAN
2010,2010 European Championships,"Montemor-o-Velho, POR",07:24.630,BLR,07:25.900,CZE,07:27.470,SWE,07:29.170,DEN,07:30.620,RUS,07:46.240,EST
2009,2009 World Rowing Championships,"Poznan, POL",07:11.780,BLR,07:13.570,GBR,07:16.220,CZE,07:16.730,NZL,07:20.820,CHN,07:30.000,RUS
2009,2009 World Rowing Cup III,"Lucerne, SUI",07:25.430,CZE,07:30.290,NZL,07:30.790,CHN,07:39.450,GBR,07:39.770,SWE1,07:59.100,BEL
2009,2009 World Rowing Cup II,"Munich, GER",07:38.190,CZE1,07:47.040,NZL,07:48.850,RUS,07:55.190,GBR,07:56.920,CZE2,08:12.710,POL1
2009,2009 World Rowing Cup I,"Banyoles, ESP",07:56.400,GBR,07:59.690,SWE,07:59.890,ESP,08:00.040,USA,08:29.280,NED,08:45.260,FRA
2009,2009 European Championships,"Brest, BLR",07:40.020,BLR,07:43.790,CZE,07:51.150,RUS,07:58.120,SWE,08:05.990,SUI,08:13.950,UKR
2008,2008 Olympic Games,"Beijing, CHN",07:22.340,BUL,07:22.780,USA,07:23.980,BLR,07:25.480,CHN,07:35.520,CZE,07:43.440,POL
