Year,Event,Location,1st Place Time,1st Place Location,2nd Place Time,2nd Place Location,3rd Place Time,3rd Place Location,4th Place Time,4th Place Location,5th Place Time,5th Place Location,6th Place Time,6th Place Location
2012,2012 Olympic Games,"London, GBR",07:09.300,GBR,07:11.930,CHN,07:12.090,GRE,07:15.530,DEN,07:20.680,AUS,07:22.180,GER
2012,2012 World Rowing Cup III,"Munich, GER",07:22.880,NZL,07:24.310,DEN,07:24.460,GER,07:25.300,GBR1,07:30.890,NED,07:32.230,GBR2
2012,2012 World Rowing Cup II,"Lucerne, SUI",07:04.140,CHN1,07:04.390,NZL,07:04.790,GRE,07:07.450,USA,07:07.540,GBR,07:08.010,DEN
2012,2012 World Rowing Cup I,"Belgrade, SRB",06:55.040,GRE,06:55.510,GBR1,06:56.010,CHN1,06:57.820,DEN,06:58.990,NED,07:00.760,USA
2012,2012 European Championships,"Varese, ITA",06:53.390,ITA,06:57.620,GRE,06:58.870,GBR,07:05.200,POL,07:08.650,BLR,07:13.730,AUT
2011,2011 World Rowing Championships,"Bled, SLO",06:59.800,GRE,07:03.460,CAN,07:04.330,GBR,07:04.930,USA,07:05.700,AUS,07:06.770,NZL
2011,2011 World Rowing Cup III,"Lucerne, SUI",07:01.710,CAN,07:03.810,GBR,07:04.810,USA1,07:08.960,GRE,07:09.440,AUS,07:14.740,ITA2
2011,2011 World Rowing Cup II,"Hamburg, GER",07:10.900,USA,07:12.280,GER1,07:12.660,DEN,07:15.580,CHN1,07:21.080,POL1,07:21.590,GER2
2011,2011 World Rowing Cup I,"Munich, GER",06:59.360,GBR1,07:00.710,GBR2,07:02.420,USA,07:04.740,NED,07:07.380,DEN,07:11.850,GRE
2011,2011 European Championships,"Plovdiv, BUL",07:15.500,GRE,07:20.260,GBR,07:24.880,ITA,07:28.080,RUS,07:28.300,AUT,07:30.360,POL
2010,2010 World Rowing Championships,"Karapiro, NZL",08:06.200,CAN,08:07.330,GER,08:09.140,GRE,08:11.170,AUS,08:13.900,GBR,08:15.690,NZL
2010,2010 World Rowing Cup III,"Lucerne, SUI",07:07.850,AUS,07:09.180,GBR,07:10.800,GRE,07:11.970,BEL,07:13.460,GER1,07:14.020,POL
2010,2010 World Rowing Cup II,"Munich, GER",07:10.740,GBR1,07:13.580,CHN,07:15.120,GER,07:19.720,GBR2,07:21.900,BEL,07:24.730,SUI
2010,2010 World Rowing Cup I,"Bled, SLO",07:07.750,USA,07:13.110,GBR1,07:17.090,GRE,07:20.400,NED,07:20.920,GBR2,07:22.990,IRL1
2010,2010 European Championships,"Montemor-o-Velho, POR",06:58.180,GRE,07:06.160,POL,07:08.290,GER,07:10.160,IRL,07:11.420,ITA,07:22.800,ESP
2009,2009 World Rowing Championships,"Poznan, POL",06:51.460,GRE,06:56.650,POL,06:56.670,GBR,06:59.750,GER,07:01.320,AUS,07:04.640,CAN
2009,2009 World Rowing Cup III,"Lucerne, SUI",07:07.590,GBR,07:09.920,BEL,07:10.660,CAN,07:11.910,GER,07:13.510,GRE,07:17.270,POL
2009,2009 World Rowing Cup II,"Munich, GER",07:18.470,GBR1,07:20.770,GER,07:20.830,POL2,07:21.550,BEL,07:27.270,POL1,07:32.040,GBR2
2009,2009 World Rowing Cup I,"Banyoles, ESP",07:27.170,GER,07:29.300,ESP,07:32.920,CAN,07:35.070,GBR1,07:38.680,POL2,07:42.490,GRE
2009,2009 European Championships,"Brest, BLR",07:15.260,GRE,07:19.690,POL,07:23.840,AUT,07:27.390,HUN,07:31.700,RUS,07:34.440,FRA
2008,2008 Olympic Games,"Beijing, CHN",06:54.740,NED,06:56.030,FIN,06:56.680,CAN,06:56.720,GER,07:01.900,CHN,07:04.610,GRE
2008,2008 World Rowing Cup III,"Poznan, POL",07:27.230,CAN,07:29.510,GER,07:29.800,AUS,07:33.410,DEN,07:35.130,GRE,07:35.560,GBR
2008,2008 World Rowing Cup II,"Lucerne, SUI",06:53.620,CHN,06:55.500,NED,06:55.860,CAN,06:57.840,AUS,07:02.710,POL,07:03.580,GER
2008,2008 World Rowing Cup I,"Munich, GER",07:45.080,GER,07:48.390,GRE1,07:49.320,CHN,07:49.410,NED,07:57.080,POL,08:05.360,ITA
2008,2008 European Championships,"Athens, GRE",07:02.710,GRE,07:04.980,POL,07:08.800,HUN,07:12.740,GBR,07:12.880,AUT,07:13.260,GER
2007,2007 World Rowing Championships,"Munich, GER",07:07.180,AUS,07:07.410,FIN,07:08.970,DEN,07:08.970,GER,07:11.760,GRE,07:12.270,CHN
2007,2007 World Rowing Cup III,"Lucerne, SUI",07:01.310,DEN1,07:01.740,CAN,07:03.780,GER,07:04.240,USA,07:07.990,GBR,07:10.950,POL
2007,2007 World Rowing Cup II,"Amsterdam, NED",07:03.660,CHN2,07:05.110,CHN1,07:06.870,USA,07:07.840,DEN2,07:09.520,GBR,07:12.250,GER
2007,2007 World Rowing Cup I,"Linz Ottensheim, AUT",07:09.330,DEN1,07:10.510,CHN3,07:11.770,CAN,07:13.110,CHN1,07:13.590,GER,07:21.470,GRE
2007,2007 European Championships,"Poznan, POL",07:21.030,GRE,07:23.510,POL,07:26.570,ITA,07:30.840,GBR,07:36.110,DEN,07:38.640,HUN
2006,2006 World Rowing Championships,"Eton, GBR",06:55.120,CHN,06:56.570,AUS,06:57.140,GRE,06:58.230,CAN,07:00.820,GBR,07:03.420,FIN
2006,2006 World Rowing Cup III,"Lucerne, SUI",07:11.620,CAN,07:13.600,FIN,07:16.630,USA,07:16.880,IRL,07:18.460,AUS,07:22.650,GBR1
2006,2006 World Rowing Cup II,"Poznan, POL",06:49.770,CHN3,06:52.780,CHN2,06:57.380,IRL,07:00.360,POL,07:02.060,FIN,07:05.200,GBR1
2006,2006 World Rowing Cup I,"Munich, GER",07:11.360,CHN1,07:13.780,GER1,07:14.130,POL,07:14.200,CHN3,07:16.500,DEN1,07:17.160,CHN2
2005,2005 World Rowing Championships,"Gifu, JPN",06:48.470,GER,06:48.770,USA,06:49.020,FIN,06:50.640,POL,06:54.790,IRL,07:00.100,AUS
2005,2005 World Rowing Cup III,"Lucerne, SUI",06:56.060,CHN2,07:01.610,GER1,07:02.990,POL,07:03.800,FIN,07:06.200,GER2,07:07.520,CAN1
2005,2005 World Rowing Cup II,"Munich, GER",07:41.560,FIN,07:42.300,GER2,07:43.150,POL,07:46.380,RUS,07:47.680,NED,07:56.280,ITA
2005,2005 World Rowing Cup I,"Eton, GBR",07:14.770,GER1,07:16.350,CHN,07:23.050,GER2,07:24.780,POL,07:49.800,ROM,07:55.920,FIN
2004,2004 Olympic Games,"Athens, GRE",06:56.050,ROM,06:57.330,GER,06:58.540,NED,06:59.910,AUS,07:02.050,CHN,07:04.480,POL
2004,2004 World Rowing Cup III,"Lucerne, SUI",07:08.920,CAN,07:10.190,ROM1,07:10.490,GER,07:13.340,NED,07:16.240,GBR,07:20.570,ESP2
2004,2004 World Rowing Cup II,"Munich, GER",07:30.510,GER,07:33.960,CAN,07:34.890,NED,07:35.220,FIN1,07:40.570,CHN2,07:43.440,GBR
2004,2004 World Rowing Cup I,"Poznan, POL",06:59.280,GER1,07:00.940,NED,07:01.380,ROM,07:01.440,POL,07:03.600,DEN,07:06.310,CHN2
