Year,Event,Location,1st Place Time,1st Place Location,2nd Place Time,2nd Place Location,3rd Place Time,3rd Place Location,4th Place Time,4th Place Location,5th Place Time,5th Place Location,6th Place Time,6th Place Location
2012,2012 World Rowing Cup II,"Lucerne, SUI",07:31.080,AUT,07:35.090,GER,07:39.890,SWE1,07:40.420,GBR,07:42.470,SUI,07:51.480,ITA
2012,2012 World Rowing Cup I,"Belgrade, SRB",07:48.450,AUT1,07:50.110,GBR,07:52.830,SUI,07:57.170,SWE1,08:03.470,IRL,08:09.510,CRO
2011,2011 World Rowing Championships,"Bled, SLO",07:44.580,BRA,07:48.240,SUI,07:50.440,GER,07:53.720,USA,07:54.000,GBR,07:54.080,CAN
2011,2011 World Rowing Cup III,"Lucerne, SUI",07:47.780,GRE1,07:51.390,SUI1,07:54.860,IRL,07:55.170,BEL,07:59.800,POL,08:02.570,NED
2011,2011 World Rowing Cup II,"Hamburg, GER",07:42.570,BRA,07:46.950,GER2,07:48.250,SWE2,07:53.990,GER1,07:55.740,ALG,08:06.240,SUI
2011,2011 World Rowing Cup I,"Munich, GER",07:43.970,GRE2,07:48.370,GBR,07:50.100,SUI1,07:52.140,BRA,07:53.600,POL1,08:00.390,NED
2010,2010 World Rowing Championships,"Karapiro, NZL",07:43.450,GER,07:48.480,NZL,07:49.040,ITA,07:49.170,BRA,07:58.820,SWE,07:59.410,USA
2010,2010 World Rowing Cup III,"Lucerne, SUI",07:48.920,GER1,07:50.690,GRE,07:53.160,BRA,07:57.470,GBR,07:58.140,ITA,08:04.600,IRL
2010,2010 World Rowing Cup II,"Munich, GER",07:57.500,GER,08:04.900,SUI1,08:06.030,SWE1,08:13.770,SWE2,08:14.180,JPN3,08:20.810,JPN2
2010,2010 World Rowing Cup I,"Bled, SLO",07:59.580,GRE,08:02.010,ITA,08:05.810,GER,08:09.580,CAN,08:13.850,SWE1,08:21.450,SUI
2010,2010 European Championships,"Montemor-o-Velho, POR",08:39.470,GER,08:46.150,AUT,08:53.300,ITA,08:55.420,SWE,09:03.180,BLR,09:05.500,POL
2009,2009 World Rowing Championships,"Poznan, POL",07:36.230,SUI,07:37.180,ITA,07:37.420,DEN,07:40.720,USA,07:42.450,BEL,07:43.830,AUT
2009,2009 World Rowing Cup III,"Lucerne, SUI",07:57.460,GRE,08:00.220,ITA1,08:01.900,ITA2,08:03.950,SUI1,08:04.600,GER2,08:04.900,DEN
2009,2009 World Rowing Cup II,"Munich, GER",08:02.020,DEN,08:05.010,SWE1,08:06.500,CZE,08:09.730,GER2,08:10.430,AUT2,08:12.920,GER1
2009,2009 World Rowing Cup I,"Banyoles, ESP",07:47.640,GRE,07:49.850,CRO,07:50.150,ITA,07:50.490,BEL,07:58.850,SWE,08:02.610,DEN
2008,2008 World Rowing Championships,"Linz Ottensheim, AUT",07:43.260,SUI,07:43.810,IRL,07:47.150,CRO,07:47.180,USA,07:49.600,ESP,08:01.250,CAN
2008,2008 World Rowing Cup III,"Poznan, POL",07:30.950,CAN,07:31.590,IRL1,07:39.360,AUT,07:45.270,IRL3,07:48.170,SWE1,07:49.440,GER
2008,2008 World Rowing Cup II,"Lucerne, SUI",07:59.250,CAN,08:02.230,SUI,08:07.050,CHN,08:09.050,GBR,08:09.590,BEL,08:21.000,POL
2008,2008 World Rowing Cup I,"Munich, GER",08:42.810,GER,08:44.250,GBR1,08:45.630,AUT,08:48.380,GBR2,08:51.880,CHN1,08:59.890,NZL
