Year,Event,Location,1st Place Time,1st Place Location,2nd Place Time,2nd Place Location,3rd Place Time,3rd Place Location,4th Place Time,4th Place Location,5th Place Time,5th Place Location,6th Place Time,6th Place Location
2006,2006 World Rowing Cup III,"Lucerne, SUI",05:47.110,GER,05:47.400,ITA,05:48.880,POL,05:50.660,SUI,05:53.310,NED,05:55.760,GBR
2006,2006 World Rowing Cup II,"Poznan, POL",05:21.210,AUS,05:24.420,BLR,05:25.120,ROM,05:28.370,POL,05:29.500,GER,05:29.950,CHN
2006,2006 World Rowing Cup I,"Munich, GER",05:32.790,GER,05:33.420,POL,05:35.090,AUS,05:35.590,NED,05:37.870,GBR,05:44.820,BLR
2005,2005 World Rowing Championships,"Gifu, JPN",05:22.750,USA,05:24.010,ITA,05:25.660,GER,05:27.570,GBR,05:27.610,POL,05:30.830,RUS
2005,2005 World Rowing Cup III,"Lucerne, SUI",05:27.320,GER,05:27.950,ITA,05:32.960,POL,05:33.890,NED,05:38.220,GBR,05:38.300,FRA
2005,2005 World Rowing Cup II,"Munich, GER",05:49.540,ITA,05:51.390,RUS,05:51.460,GER,05:53.510,BLR,05:58.940,POL,06:00.790,FRA
2005,2005 World Rowing Cup I,"Eton, GBR",05:43.300,GER,05:45.290,ITA,05:47.240,GBR,05:48.860,NED,05:51.940,ROM,05:55.260,POL
2004,2004 Olympic Games,"Athens, GRE",05:42.480,USA,05:43.750,NED,05:45.380,AUS,05:49.430,GER,05:51.660,CAN,05:53.310,FRA
2004,2004 World Rowing Cup III,"Lucerne, SUI",05:35.010,CAN,05:36.980,GER,05:37.140,ITA,05:37.260,USA1,05:40.880,EGY,05:44.030,USA2
2004,2004 World Rowing Cup II,"Munich, GER",05:47.340,CAN,05:49.490,GER1,05:54.330,NED,05:54.990,GBR,05:58.310,ITA,06:09.480,EGY
2004,2004 World Rowing Cup I,"Poznan, POL",05:28.540,ROM,05:31.260,GER,05:32.440,FRA,05:32.470,NED,05:35.240,GBR,05:37.740,CRO
2003,2003 World Rowing Championships,"Milan, ITA",06:00.440,CAN,06:01.460,USA,06:03.450,GBR,06:06.530,FRA,06:08.320,AUS,06:10.010,GER
2003,2003 World Rowing Cup III,"Lucerne, SUI",05:28.240,CAN,05:30.540,GER,05:31.850,AUS1,05:33.830,NED,05:35.000,CRO,05:35.120,ITA
2003,2003 World Rowing Cup II,"Munich, GER",05:41.650,GER1,05:44.710,CRO,05:47.760,GBR,05:51.650,CZE,05:56.100,EGY,05:56.350,GER2
2003,2003 World Rowing Cup I,"Milan, ITA",05:26.030,GER,05:28.460,ITA1,05:28.650,CRO,05:31.490,ROM,05:35.230,CZE,05:35.300,FRA
2002,2002 World Rowing Championships,"Seville, ESP",05:26.920,CAN,05:28.160,GER,05:29.270,USA,05:31.960,CRO,05:33.480,ITA,05:35.780,GBR
2002,2002 World Rowing Cup III,"Munich, GER",05:35.370,GER,05:38.210,AUS,05:41.840,RUS,05:42.830,CRO,05:45.570,ROM,05:45.900,GBR
2002,2002 World Rowing Cup II,"Lucerne, SUI",05:28.680,USA,05:29.800,GER,05:30.610,CAN,05:32.270,ROM,05:36.010,RUS,05:36.400,CRO
2002,2002 World Rowing Cup I,"Hazewinkel, BEL",05:33.040,GER,05:33.280,ROM,05:35.850,EGY,05:36.900,CRO,05:37.470,ITA,05:39.320,POL
2001,2001 World Rowing Championships,"Lucerne, SUI",05:27.480,ROM,05:28.470,CRO,05:29.410,GER,05:30.760,USA,05:31.880,GBR,05:33.850,CAN
2001,2001 World Rowing Cup III,"Vienna, AUT",06:21.510,GBR,06:27.510,POL,06:30.510,CHN,07:02.060,CHI,,,,
2001,2001 World Rowing Cup II,"Seville, ESP",05:39.880,ROM,05:41.570,CRO,05:41.890,GER,05:46.390,GBR,05:47.140,RUS,05:55.160,ITA1
2001,2001 World Rowing Cup I,"New Jersey, USA",05:38.670,USA1,05:46.220,A,05:49.190,USA2,05:51.650,B,05:56.100,YUG,,
