Year,Event,Location,1st Place Time,1st Place Location,2nd Place Time,2nd Place Location,3rd Place Time,3rd Place Location,4th Place Time,4th Place Location,5th Place Time,5th Place Location,6th Place Time,6th Place Location
2013,2013 European Championships,"Seville, ESP",07:02.590,SRB,07:04.980,POL,07:08.270,NED,07:11.180,ITA,07:14.950,HUN,07:20.430,FRA
2012,2012 Olympic Games,"London, GBR",06:16.650,NZL,06:21.110,FRA,06:21.770,GBR,06:26.170,ITA,06:29.280,AUS,06:30.490,CAN
2012,2012 World Rowing Cup III,"Munich, GER",06:42.970,NZL1,06:47.720,AUS1,06:48.720,FRA,06:51.870,ITA,06:56.090,ESP,06:57.320,SRB1
2012,2012 World Rowing Cup II,"Lucerne, SUI",06:24.040,NZL,06:26.770,CAN1,06:30.040,GRE1,06:30.790,GER,06:31.600,GBR1,06:35.860,ITA
2012,2012 World Rowing Cup I,"Belgrade, SRB",06:26.450,GER1,06:27.030,GBR1,06:28.050,GRE1,06:36.580,NED2,06:39.450,CZE2,06:42.650,SRB1
2012,2012 European Championships,"Varese, ITA",06:28.000,NED,06:29.170,ESP,06:31.500,SRB,06:33.860,GBR,06:35.770,POL,06:46.330,HUN
2011,2011 World Rowing Championships,"Bled, SLO",06:14.770,NZL,06:16.270,GBR,06:21.330,ITA,06:23.130,GRE,06:28.630,CAN,06:37.940,GER
2011,2011 World Rowing Cup III,"Lucerne, SUI",06:21.760,NZL1,06:28.160,GBR1,06:29.470,CAN1,06:34.130,GRE,06:37.540,ITA,06:44.410,HUN
2011,2011 World Rowing Cup II,"Hamburg, GER",06:20.390,NZL,06:34.330,GER1,06:35.730,RSA,06:41.240,GER2,06:43.990,POL,06:46.920,CZE
2011,2011 World Rowing Cup I,"Munich, GER",06:24.670,GBR,06:28.370,ITA,06:29.850,GRE,06:30.370,HUN,06:32.540,GER,06:36.920,NED1
2011,2011 European Championships,"Plovdiv, BUL",06:31.630,GRE,06:34.260,ITA,06:43.970,SRB,06:45.330,POL,06:46.360,BLR,06:47.900,ROU
2010,2010 World Rowing Championships,"Karapiro, NZL",06:30.160,NZL,06:30.480,GBR,06:36.000,GRE,06:42.490,ITA,06:49.960,GER,06:55.500,FRA
2010,2010 World Rowing Cup III,"Lucerne, SUI",06:25.150,NZL,06:27.710,GBR1,06:31.540,GRE2,06:34.620,GRE1,06:38.760,ITA,06:45.060,GER1
2010,2010 World Rowing Cup II,"Munich, GER",06:30.050,NZL,06:30.840,GBR1,06:43.530,SRB,06:46.090,ROU,06:46.620,GBR2,06:56.360,RSA
2010,2010 World Rowing Cup I,"Bled, SLO",06:33.300,NZL,06:34.520,GBR1,06:41.060,GRE2,06:43.440,GRE1,06:47.060,GER,06:55.410,USA
2010,2010 European Championships,"Montemor-o-Velho, POR",06:30.340,GRE,06:33.350,ITA,06:36.850,SRB,06:38.780,FRA,06:40.010,BLR,06:42.460,POL
2009,2009 World Rowing Championships,"Poznan, POL",06:15.930,NZL,06:17.450,GBR,06:23.010,GRE,06:24.690,FRA,06:33.160,USA,06:38.060,RSA
2009,2009 World Rowing Cup III,"Lucerne, SUI",06:27.000,NZL,06:32.470,GBR,06:36.900,USA,06:39.620,GRE1,06:46.220,CZE,06:46.460,RSA
2009,2009 World Rowing Cup II,"Munich, GER",06:35.470,NZL,06:38.180,GBR,06:44.420,NED,06:47.820,CZE,06:51.200,HUN,07:09.020,SRB
2009,2009 World Rowing Cup I,"Banyoles, ESP",06:31.700,GBR,06:33.850,RSA,06:38.020,CAN,06:39.480,SRB1,06:40.170,GRE,06:48.170,FRA1
2009,2009 European Championships,"Brest, BLR",06:45.080,GRE,06:48.530,SRB,06:52.340,FRA,06:54.880,POL,06:55.110,HUN,07:03.320,GER
2008,2008 Olympic Games,"Beijing, CHN",06:37.440,AUS,06:39.550,CAN,06:44.190,NZL,06:47.400,GER,06:47.830,RSA,07:05.580,USA
2008,2008 World Rowing Cup III,"Poznan, POL",06:42.950,NZL,06:44.280,FRA2,06:48.120,RSA,06:50.790,AUS,06:54.730,GER1,06:58.450,FRA1
2008,2008 World Rowing Cup II,"Lucerne, SUI",06:29.970,CAN1,06:30.540,NZL,06:33.230,AUS1,06:35.020,FRA1,06:39.820,CHN2,06:41.270,RSA
2008,2008 World Rowing Cup I,"Munich, GER",07:07.570,CRO,07:07.760,SUI,07:10.580,FRA1,07:11.320,CZE,07:12.450,ITA,07:22.330,DEN
2008,2008 European Championships,"Athens, GRE",06:29.420,GRE,06:31.210,SRB,06:31.290,FRA,06:35.720,ITA,06:39.860,RUS,06:58.760,POL
2007,2007 World Rowing Championships,"Munich, GER",06:24.890,AUS,06:30.190,NZL,06:31.060,GBR,06:33.640,FRA,06:35.570,RSA,06:38.450,SRB
2007,2007 World Rowing Cup III,"Lucerne, SUI",06:27.310,AUS1,06:29.140,NZL,06:32.750,FRA,06:37.790,CAN,06:44.930,CRO,06:54.890,SRB
2007,2007 World Rowing Cup II,"Amsterdam, NED",06:23.670,NZL,06:24.160,CRO,06:24.320,FRA,06:30.660,RSA,06:32.860,CZE,06:33.680,GER
2007,2007 World Rowing Cup I,"Linz Ottensheim, AUT",06:29.770,GBR,06:31.060,CRO,06:32.240,GER1,06:32.380,CZE,06:32.780,CAN,06:35.690,FRA
2007,2007 European Championships,"Poznan, POL",06:44.300,SRB,06:46.350,POL,06:46.660,ITA,06:54.360,RUS,06:55.680,GER,07:06.710,HUN
2006,2006 World Rowing Championships,"Eton, GBR",06:18.000,AUS,06:19.130,NZL,06:21.830,CAN,06:22.160,CHN,06:23.240,GER,06:27.760,GBR
2006,2006 World Rowing Cup III,"Lucerne, SUI",06:24.360,NZL,06:26.050,GBR,06:35.930,GER1,06:39.250,ITA,06:41.830,NED1,06:47.790,CRO
2006,2006 World Rowing Cup II,"Poznan, POL",06:22.150,AUS1,06:24.150,SCG1,06:25.020,GER1,06:29.840,CHN,06:30.670,NZL,06:35.310,GER2
2006,2006 World Rowing Cup I,"Munich, GER",06:37.430,SCG,06:38.980,CAN,06:40.650,RSA,06:43.100,CHN,06:47.520,CRO1,06:47.700,CZE
2005,2005 World Rowing Championships,"Gifu, JPN",06:52.510,NZL,06:55.520,RSA,06:57.290,ITA,06:59.260,CAN,07:03.830,GRE,07:07.530,CRO
2005,2005 World Rowing Cup III,"Lucerne, SUI",06:28.740,NZL,06:31.480,CRO,06:34.940,ITA,06:37.860,GER,06:39.370,CAN,06:39.670,GBR
2005,2005 World Rowing Cup II,"Munich, GER",06:59.820,NZL,07:05.590,CRO,07:08.140,ITA,07:17.260,GBR,07:28.000,GER2,00:00.000,GER1
2005,2005 World Rowing Cup I,"Eton, GBR",06:48.090,CRO,06:53.550,CAN2,06:53.820,CAN1,06:56.750,GBR,07:03.750,EGY,07:06.550,CHN2
2004,2004 Olympic Games,"Athens, GRE",06:30.760,AUS,06:32.640,CRO,06:33.400,RSA,06:34.240,NZL,06:39.740,SCG,06:46.500,GER
2004,2004 World Rowing Cup III,"Lucerne, SUI",06:36.640,ITA1,06:37.280,CRO,06:37.310,CAN,06:48.000,GBR1,06:51.640,GER,07:13.390,ARG
2004,2004 World Rowing Cup II,"Munich, GER",06:58.460,ITA,06:59.390,RSA,07:00.290,CAN,07:04.060,SCG,07:07.680,GER,07:17.600,SLO2
2004,2004 World Rowing Cup I,"Poznan, POL",06:30.600,CRO,06:32.380,SCG,06:35.650,GER1,06:38.490,DEN2,06:41.130,SLO1,06:44.900,GER2
2003,2003 World Rowing Championships,"Milan, ITA",06:19.310,AUS,06:20.790,CRO,06:21.690,RSA,06:23.190,GBR,06:24.740,ITA,06:26.080,CAN
2003,2003 World Rowing Cup III,"Lucerne, SUI",06:23.960,ITA,06:27.270,RSA,06:29.380,NZL,06:33.260,GER2,06:34.460,CZE,06:36.760,LTU
2003,2003 World Rowing Cup II,"Munich, GER",06:39.610,GBR,06:44.430,CZE,06:46.060,GER1,06:52.050,YUG,06:53.170,GER2,06:57.940,LTU
2003,2003 World Rowing Cup I,"Milan, ITA",06:20.730,CRO1,06:24.300,ITA,06:24.410,GBR,06:26.780,RSA,06:30.710,USA,06:32.580,YUG1
2002,2002 World Rowing Championships,"Seville, ESP",06:14.270,GBR,06:15.600,RSA,06:15.970,CRO,06:16.020,AUS,06:21.320,SCG,06:21.730,CZE
2002,2002 World Rowing Cup III,"Munich, GER",06:30.570,CRO,06:31.680,CZE,06:35.680,YUG,06:37.720,LTU,06:39.140,NED,06:42.210,AUS
2002,2002 World Rowing Cup II,"Lucerne, SUI",06:30.020,AUS,06:33.360,GBR,06:33.440,CRO,06:36.340,CZE,06:38.230,RSA,06:47.560,GER
2002,2002 World Rowing Cup I,"Hazewinkel, BEL",06:28.970,GBR1,06:30.400,GER1,06:30.730,RSA,06:31.260,CRO1,06:34.090,CZE,06:40.220,ITA
2001,2001 World Rowing Championships,"Lucerne, SUI",06:27.570,GBR,06:27.590,YUG,06:29.310,RSA,06:30.120,ROM,06:38.130,ARG,06:46.700,ITA
2001,2001 World Rowing Cup III,"Vienna, AUT",07:36.530,GBR,07:41.990,YUG,07:46.460,ARG,07:50.330,CZE,07:52.050,LTU,08:06.630,UKR4
2001,2001 World Rowing Cup II,"Seville, ESP",06:56.130,GBR,06:57.490,GER1,06:58.340,RSA,06:58.760,CRO,07:01.760,USA,07:11.860,GER2
2001,2001 World Rowing Cup I,"New Jersey, USA",06:50.750,GBR,06:52.390,CAN,06:54.260,CRO,06:54.730,RUS,07:12.260,USA,,
