Year,Event,Location,1st Place Time,1st Place Location,2nd Place Time,2nd Place Location,3rd Place Time,3rd Place Location,4th Place Time,4th Place Location,5th Place Time,5th Place Location,6th Place Time,6th Place Location
2012,2012 Olympic Games,"London, GBR",06:03.970,GBR,06:05.190,AUS,06:07.200,USA,06:11.430,GRE,06:14.780,NED,06:16.370,GER
2012,2012 World Rowing Cup III,"Munich, GER",06:10.280,AUS,06:11.150,GBR,06:13.760,BLR,06:16.570,SRB,06:18.950,CZE1,06:20.960,ROU
2012,2012 World Rowing Cup II,"Lucerne, SUI",05:50.840,GBR,05:51.980,AUS,05:56.610,GRE,05:58.020,BLR,06:00.470,GER1,06:03.010,NZL
2012,2012 World Rowing Cup I,"Belgrade, SRB",05:50.290,GBR,05:52.640,GRE,05:53.010,BLR,05:53.050,CZE,05:58.300,NED,06:01.360,FRA
2012,2012 European Championships,"Varese, ITA",05:56.030,GRE,05:57.370,ROU,05:58.720,SRB,05:59.120,ESP,06:02.540,BLR,06:06.450,FRA
2011,2011 World Rowing Championships,"Bled, SLO",05:55.180,GBR,05:57.200,GRE,05:58.440,AUS,06:01.390,USA,06:01.780,GER,06:11.820,NED
2011,2011 World Rowing Cup III,"Lucerne, SUI",05:53.840,GBR,05:56.350,GRE,05:57.610,USA1,05:57.770,GER1,06:03.320,SRB,06:03.320,NZL1
2011,2011 World Rowing Cup II,"Hamburg, GER",05:56.540,GER1,05:57.970,NZL,05:59.820,BLR,06:03.160,CHN1,06:06.830,CZE,06:12.150,ARG
2011,2011 World Rowing Cup I,"Munich, GER",05:52.740,GBR,05:55.030,GRE,05:56.820,GER,05:56.910,BLR,06:01.070,FRA,06:07.640,ITA
2011,2011 European Championships,"Plovdiv, BUL",05:58.120,GRE,06:01.450,BLR,06:06.100,ITA,06:08.920,ESP,06:12.140,SLO,06:15.170,SRB
2010,2010 World Rowing Championships,"Karapiro, NZL",06:45.380,FRA,06:47.150,GRE,06:48.380,NZL,06:49.020,GBR,06:55.940,USA,07:01.580,ITA
2010,2010 World Rowing Cup III,"Lucerne, SUI",05:55.150,GBR,05:57.370,NZL1,05:57.920,FRA,05:59.820,NZL2,06:00.530,AUS,06:01.710,USA1
2010,2010 World Rowing Cup II,"Munich, GER",05:59.910,AUS2,06:01.550,USA,06:02.420,GBR,06:04.580,AUS1,06:04.970,NZL1,06:08.340,CZE1
