Year,Event,Location,1st Place Time,1st Place Location,2nd Place Time,2nd Place Location,3rd Place Time,3rd Place Location,4th Place Time,4th Place Location,5th Place Time,5th Place Location,6th Place Time,6th Place Location
2010,2010 European Championships,"Montemor-o-Velho, POR",05:54.780,GER,05:56.580,POL,05:58.290,SUI,05:58.440,ITA,05:59.870,DEN,06:02.480,FRA
2009,2009 World Rowing Championships,"Poznan, POL",05:50.770,GER,05:51.020,DEN,05:52.700,POL,05:53.040,FRA,05:56.820,ITA,05:57.910,NED
2009,2009 World Rowing Cup III,"Lucerne, SUI",06:05.670,DEN,06:06.960,FRA,06:07.620,CZE,06:08.820,GER,06:09.460,ITA1,06:12.260,GBR
2009,2009 World Rowing Cup II,"Munich, GER",06:14.400,DEN,06:15.970,GER,06:17.090,CHN1,06:17.530,GBR,06:21.750,CZE,06:23.060,JPN
2009,2009 World Rowing Cup I,"Banyoles, ESP",06:44.370,DEN,06:46.100,GER,06:47.730,ITA2,06:51.520,ITA1,06:55.050,GBR,06:56.740,ESP
2009,2009 European Championships,"Brest, BLR",06:04.850,FRA,06:05.560,GER,06:06.880,SRB,06:09.960,CZE,06:12.010,ITA,06:20.040,ESP
2008,2008 Olympic Games,"Beijing, CHN",05:47.760,DEN,05:49.390,POL,05:50.090,CAN,05:51.220,FRA,05:52.120,GBR,05:54.060,NED
2008,2008 World Rowing Cup III,"Poznan, POL",06:08.760,FRA,06:09.980,ITA1,06:10.000,AUS,06:13.030,DEN,06:14.500,NED,06:14.770,GBR
2008,2008 World Rowing Cup II,"Lucerne, SUI",06:00.890,CHN,06:01.330,DEN,06:01.990,FRA,06:02.640,GER,06:04.860,GBR,06:07.890,IRL
2008,2008 World Rowing Cup I,"Munich, GER",06:27.810,CHN1,06:28.400,GBR,06:28.780,GER,06:32.260,FRA,06:33.900,IRL,06:43.180,SRB
2008,2008 European Championships,"Athens, GRE",05:58.920,ITA,06:02.310,SRB,06:04.920,CZE,06:07.490,FRA,06:09.900,TUR,06:10.940,RUS
2007,2007 World Rowing Championships,"Munich, GER",06:16.210,GBR,06:17.430,FRA,06:17.490,ITA,06:18.920,CAN,06:19.040,CHN,06:20.090,DEN
2007,2007 World Rowing Cup III,"Lucerne, SUI",05:58.070,GBR,05:59.020,FRA,05:59.040,NED1,06:00.430,CAN1,06:01.370,AUS,06:07.500,ITA
2007,2007 World Rowing Cup II,"Amsterdam, NED",05:58.690,CHN,05:59.310,GBR,06:01.020,NED2,06:01.850,FRA1,06:03.940,DEN,06:08.560,POL1
2007,2007 World Rowing Cup I,"Linz Ottensheim, AUT",06:03.130,CHN,06:03.710,ITA1,06:04.740,GBR,06:06.020,NED,06:06.670,ITA2,06:06.890,USA
2007,2007 European Championships,"Poznan, POL",06:17.840,ITA,06:20.490,SRB,06:23.010,RUS,06:24.000,POL,06:28.750,CZE,06:33.930,UKR
