Year,Event,Location,1st Place Time,1st Place Location,2nd Place Time,2nd Place Location,3rd Place Time,3rd Place Location,4th Place Time,4th Place Location,5th Place Time,5th Place Location,6th Place Time,6th Place Location
2010,2010 World Rowing Championships,"Karapiro, NZL",NZL,06:22.630,GBR,06:24.210,FRA,06:28.540,NOR,06:31.080,AUS,06:31.570,GER,06:33.890
2010,2010 World Rowing Cup III,"Lucerne, SUI",FRA,06:18.510,GBR,06:19.280,NZL,06:20.170,EST1,06:23.070,SUI,06:25.130,CZE,06:26.300
2010,2010 World Rowing Cup II,"Munich, GER",GBR,06:20.900,FRA,06:22.680,GER,06:24.550,USA,06:24.710,SUI,06:25.880,CHN,06:38.010
2010,2010 World Rowing Cup I,"Bled, SLO",GBR1,06:26.660,GBR2,06:27.770,EST1,06:28.180,NOR,06:28.450,SUI,06:29.020,ITA1,06:41.850
2010,2010 European Championships,"Montemor-o-Velho, POR",FRA,06:12.120,EST,06:12.900,CZE,06:13.570,GER,06:14.160,POL,06:16.910,SUI,06:17.050
2009,2009 World Rowing Championships,"Poznan, POL",GER,06:07.020,FRA,06:07.820,EST,06:07.860,NZL,06:08.870,SLO,06:15.100,SRB,06:15.520
2009,2009 World Rowing Cup III,"Lucerne, SUI",GER1,06:19.620,FRA,06:19.840,EST,06:19.850,NZL,06:20.380,SLO,06:34.890,GBR,00:00.000
2009,2009 World Rowing Cup II,"Munich, GER",GER1,06:24.870,NZL,06:26.010,GER2,06:26.920,GBR,06:27.010,EST1,06:28.740,POL1,06:38.590
2009,2009 World Rowing Cup I,"Banyoles, ESP",GBR,06:23.980,FRA1,06:24.040,CRO1,06:24.430,CRO2,06:29.000,USA,06:33.260,FRA3,06:35.940
2009,2009 European Championships,"Brest, BLR",EST,06:28.820,SUI,06:30.870,SRB,06:36.850,UKR,06:37.520,RUS,06:41.650,BLR,06:48.560
2008,2008 Olympic Games,"Beijing, CHN",AUS,06:27.770,EST,06:29.050,GBR,06:29.100,NZL,06:30.790,FRA,06:33.360,SLO,06:33.960
2008,2008 World Rowing Cup III,"Poznan, POL",NZL,06:32.780,SLO,06:35.880,EST,06:36.550,GER2,06:40.610,BEL,06:41.490,FRA,06:44.280
2008,2008 World Rowing Cup II,"Lucerne, SUI",NZL,06:14.040,GBR,06:15.800,AUS,06:17.530,CHN,06:21.620,FRA,06:22.220,SLO,06:22.460
2008,2008 World Rowing Cup I,"Munich, GER",GBR,06:52.780,GER1,06:52.940,AUS,06:59.940,CRO1,07:00.960,ITA1,07:10.720,BEL,07:13.100
2008,2008 European Championships,"Athens, GRE",FRA,06:16.920,EST,06:18.400,UKR,06:20.090,POL,06:20.670,CRO,06:26.160,ITA,06:30.160
2007,2007 World Rowing Championships,"Munich, GER",SLO,06:16.650,FRA,06:16.930,EST,06:18.320,GBR,06:19.100,BLR,06:22.900,NZL,06:24.720
